system:index,CHILI,EVH,rdnbr,Aspect,Burning.Index,ERC,FM100,FM1000,mTPI,Max Gust,Slope,struccond
548_0,165,10,430.8774101,11.600049,55,76,6.8,8.3,12,13.7699995,5.150592,2
549_0,185,11,796.127466,130.42578,34,49,10.4,12.9,30,20.79999924,19.246513,2
550_0,193,4,46.22115671,228.55641,54,75,6.7,8.5,-25,15.61999989,6.407013,2
551_0,62,10,1396.884982,60.558212,45,55,8.9,12,65,25.13999939,35.320946,2
552_0,183,0,574.4880907,204.73312,37,53,9.6,12.4,-85,27.23999977,1.3799341,2
553_0,253,12,999.0914308,196.44167,40,51,10.6,12.9,57,21.48999977,38.730125,2
554_0,108,10,208.8642657,321.83554,50,67,7.2,10.1,71,39.22999954,31.449608,2
556_0,205,11,594.515828,260.8205,50,62,7.6,11,40,28.84000015,24.38752,2
557_0,53,11,304.7139555,3.4835382,46,62,8,10.4,80,17.14999962,33.78109,2
558_0,188,11,884.379409,263.82037,40,51,10.6,12.9,-30,17.61999893,18.591515,2
560_0,219,10,504.5744064,241.89856,37,53,9.3,12.9,-138,37.06999969,15.908329,2
561_0,113,11,804.0401919,82.59837,39,53,8.8,12.8,12,30.38999939,28.751072,2
562_0,168,11,440.0671769,22.785889,55,76,6.6,8.3,-67,13.68999958,4.2606936,2
564_0,180,1,1034.215421,290.56125,47,60,8.2,11.3,-87,21.5,15.724129,2
565_0,179,10,759.5919756,303.45755,41,58,8.3,12,90,36.07999802,5.465866,2
566_0,174,1,702.8822411,106.2633,62,77,6,8.2,-41,20.93999863,14.248904,2
567_0,168,11,344.3589288,42.154736,55,76,6.8,8.3,-40,14.30999947,2.333771,2
569_0,178,1,1144.968735,17.704367,40,53,10.3,12.3,-2,17.02999878,4.6453657,2
570_0,167,9,903.063233,93.898544,40,53,10.4,12.3,-3,21.56999969,11.738339,2
571_0,185,9,768.0133252,123.26084,46,59,8.4,11.6,-36,27.29999924,10.897076,2
572_0,167,10,178.2559536,97.292404,55,76,6.8,8.3,41,11.73999977,11.491488,2
573_0,146,11,492.5060231,271.7221,35,49,10.5,12.9,-76,28.18999863,6.794547,2
574_0,174,10,843.8105777,100.63786,53,74,6.8,8.7,3,13.42999935,5.9255185,2
577_0,236,10,983.5554308,223.16162,48,62,7.8,10.9,54,37.29000092,39.43788,2
578_0,203,10,911.7417685,265.68372,61,78,6.2,8,89,27.81999969,37.59415,2
579_0,158,9,-271.7226254,19.5293,54,75,6.7,8.6,-7,13.10999966,7.336647,2
580_0,182,11,572.5526437,138.21588,54,75,6.7,8.5,-93,13.97999954,3.5026162,2
581_0,220,10,34.23317504,165.43973,34,49,9.6,13.8,2,37.90999985,14.960815,2
583_0,220,10,143.7373254,170.29573,62,75,6.9,8.2,-3,17.3599987,15.14834,2
585_0,191,9,1058.052877,269.0896,39,53,8.8,12.8,-10,33.84999847,11.97557,2
586_0,183,10,-27.4699121,155.76622,54,74,6.7,8.8,-67,13.88000011,1.551935,2
587_0,178,11,568.9827833,296.54068,44,57,8.8,12.1,-102,25.53999901,8.078431,2
588_0,158,9,1906.126238,22.904123,54,75,6.7,8.6,54,12.86999989,6.732255,2
589_0,153,10,984.2056032,110.79139,38,53,9.2,12.5,59,26.3599987,30.051846,2
590_0,91,9,541.943637,2.18197,52,72,6.8,9.3,-15,16.23999977,29.654556,2
591_0,210,1,283.2058922,186.94516,42,55,10,12,7,15.65999985,15.917826,2
592_0,212,1,1088.597769,231.03955,41,54,8.8,12.4,-11,25.14999962,17.311377,2
593_0,195,9,598.5401129,152.50438,39,53,10.7,12.4,27,15.30999947,8.904044,2
594_0,159,11,1010.97173,59.795525,61,78,6.2,8,-3,21.92000008,10.016127,2
595_0,217,10,655.9257882,261.93802,61,78,6.2,8,89,27.81999969,18.932535,2
596_0,58,10,1251.879514,40.03326,48,58,8.2,11.7,126,34.06999969,20.960394,2
597_0,226,10,540.7696179,234.29909,34,45,11.5,13.5,20,21.69999886,19.472725,2
598_0,178,10,7.112950163,104.30352,52,71,7.1,9.4,23,15.15999985,5.2527995,2
600_0,225,10,686.6159631,155.24194,61,78,6.6,7.9,10,23.01000023,39.596405,2
601_0,175,8,182.9066504,96.39441,55,76,6.8,8.3,13,14.30999947,5.462278,2
602_0,67,11,924.9592809,303.1985,50,61,7.8,11.2,50,24.93999863,44.672924,2
603_0,174,10,1044.166484,67.60402,48,68,7.1,10,7,28.01999855,5.497294,2
604_0,220,11,638.9139363,182.82588,51,70,7.2,9.4,-157,14.17000008,15.804859,2
