system:index,CHILI,EVH,RdNBR_early,RdNBR_update,comp,diff,Aspect,Burning.Index,ERC,FM100,FM1000,mTPI,max_FRP,Max Gust,Slope,Structural Class,sum_FRP
109_0,71,11,654.9617287,-82.38608145,654.9617287,737.3478102,356.67633,61,74,6.2,8.9,-37,9715.495,21.39999962,38.362514,1,630853.6157
110_0,70,1,1035.550932,594.2371409,1035.550932,441.3137911,74.4521,46,59,8.5,11.2,-13,7390.278,23.56999969,38.36273,1,163419.5043
111_0,168,10,919.9140324,558.2314626,919.9140324,361.6825698,126.05913,51,71,7,9.3,-139,6993.9697,15.92000008,31.215754,1,293913.6442
112_0,158,1,915.0070165,764.3092117,915.0070165,150.6978048,6.762013,41,53,9.5,12.1,-9,9956.53,33.27999878,6.1179094,1,421550.2112
113_0,223,11,971.9651589,202.4648884,971.9651589,769.5002705,187.3747,39,53,10.7,12.4,20,2538.509,14.79999924,13.998311,1,302981.1538
114_0,192,1,1028.920512,376.6189228,1028.920512,652.3015892,160.1342,39,53,9,12.6,51,4669.361,27.92000008,5.046157,1,158245.9322
115_0,194,10,1017.00587,504.4626599,1017.00587,512.5432101,136.7122,61,79,5.9,8,38,8617.861,26.93999863,21.578846,1,227993.0307
116_0,217,10,874.0577142,-1042.721147,874.0577142,1916.778861,242.88655,43,55,9.2,12.4,35,2538.509,20.09000015,22.994463,1,302981.1538
117_0,186,9,14.51119805,924.4450742,924.4450742,-909.9338762,319.40588,46,64,7.2,10.9,-48,8971.249,28.14999962,11.600775,1,483670.3633
118_0,208,9,-74.71739756,-129.7562385,-74.71739756,55.03884094,249.10669,55,76,6.7,8.4,55,3888.807,13.43999958,15.632151,1,120906.4837
119_0,203,1,736.369827,137.0110445,736.369827,599.3587825,199.43425,46,60,8.2,11.5,-41,6635.1235,18.96999931,7.789858,1,397878.3645
120_0,183,11,976.6578975,576.1465093,976.6578975,400.5113882,280.03073,46,54,9.5,11.8,17,7942.76,27.96999931,12.566588,1,257075.6003
121_0,172,1,957.8869366,747.4720417,957.8869366,210.4148949,94.41186,62,75,6.9,8.2,-1,9697.371,20.14999962,9.757549,1,401771.0743
122_0,164,1,1190.138523,504.4205394,1190.138523,685.7179836,112.1317,35,49,10.5,12.9,-27,6709.53,28.18999863,24.79294,1,34470.62775
123_0,162,1,1051.32981,673.0974861,1051.32981,378.2323239,71.112816,33,48,11.1,13.1,15,2122.7507,29.71999931,7.638546,1,29004.28644
124_0,201,11,1330.951141,580.4934271,1330.951141,750.4577139,155.9296,46,59,8.4,11.6,8,7682.297,27.29999924,7.382054,1,613549.404
125_0,153,1,1065.212568,356.879715,1065.212568,708.332853,73.67399,45,55,9.6,11.8,29,4435.1533,24.14999962,12.27016,1,184008.4354
126_0,149,10,384.2286473,537.251852,537.251852,-153.0232047,315.71228,50,69,7.1,9.7,59,6879.1196,27.47999954,17.621897,1,339724.305
127_0,214,1,1348.95838,689.3063004,1348.95838,659.6520796,161.73102,41,51,10.1,13.2,-1,7306.9526,26.22999954,27.429537,1,171873.9293
128_0,127,11,1439.0275,362.2645272,1439.0275,1076.762973,37.28262,62,77,6,8.2,-16,9609.549,23.45999908,15.814091,1,195717.9208
129_0,142,1,1242.455782,677.779579,1242.455782,564.676203,17.821735,33,47,10.1,13.7,74,3762.031,35.95999908,11.006625,1,152579.5618
130_0,246,10,863.5215071,379.7735195,863.5215071,483.7479876,200.06735,44,57,9.3,11.6,-23,8612.478,24.46999931,27.411938,1,99331.91638
131_0,84,8,-226.8210576,-190.1889378,-190.1889378,-36.6321198,22.379065,56,77,6.4,8.4,-10,6567.1606,13.88000011,23.446978,1,160832.0293
132_0,153,10,770.2924503,472.506653,770.2924503,297.7857973,60.319664,39,53,8.8,12.8,11,9727.446,35.27999878,10.631357,1,213721.8757
133_0,242,11,671.5451607,-5986.277074,671.5451607,6657.822235,229.70438,37,53,8.9,12.9,-99,10054.722,35.81999969,30.269024,1,193234.0858
134_0,156,11,854.2820449,841.5215051,854.2820449,12.7605398,120.084785,54,75,6.7,8.6,-66,1501.6804,12.47999954,35.23788,1,19535.14777
135_0,221,8,344.5128352,386.9850248,386.9850248,-42.4721896,160.6736,56,77,6.4,8.4,-6,6567.1606,13.88000011,23.370016,1,160832.0293
136_0,169,1,961.6959607,664.7951406,961.6959607,296.9008201,93.286995,51,59,9,10.9,100,1051.7963,28.01000023,9.571732,1,9392.46582
137_0,217,11,685.1380204,789.4301897,789.4301897,-104.2921693,208.93001,61,74,6.2,8.9,-29,9639.897,20.82999992,12.506553,1,799829.825
138_0,150,1,822.0455894,119.9804606,822.0455894,702.0651288,325.08502,38,52,9.9,12.2,1,6709.53,31.30999947,13.907742,1,34470.62775
