year,ecoregion,state,severity,struccond,hectares_burned,lsr_hectares_burned,region_hectares,region_lsr_hectares,region_og_hectares,region_lsr_og_hectares,yr_group
1986,Olympic Peninsula,Washington,Very high,Sparse,0.0,0.0,1733874.3235972885,149682.15010059494,354852.45,67318.01999999999,1985 - 2019
1986,Olympic Peninsula,Washington,Very low / unburned,Open,0.0,0.0,1733874.3235972885,149682.15010059494,354852.45,67318.01999999999,1985 - 2019
1986,Olympic Peninsula,Washington,Low,Open,0.0,0.0,1733874.3235972885,149682.15010059494,354852.45,67318.01999999999,1985 - 2019
1986,Olympic Peninsula,Washington,Low / moderate,Open,0.0,0.0,1733874.3235972885,149682.15010059494,354852.45,67318.01999999999,1985 - 2019
1986,Olympic Peninsula,Washington,Moderate / high,Open,0.0,0.0,1733874.3235972885,149682.15010059494,354852.45,67318.01999999999,1985 - 2019
1986,Olympic Peninsula,Washington,High,Open,0.0,0.0,1733874.3235972885,149682.15010059494,354852.45,67318.01999999999,1985 - 2019
1986,Olympic Peninsula,Washington,Very high,Open,0.0,0.0,1733874.3235972885,149682.15010059494,354852.45,67318.01999999999,1985 - 2019
1986,Olympic Peninsula,Washington,Very low / unburned,Sapling/pole - moderate/closed,0.0,0.0,1733874.3235972885,149682.15010059494,354852.45,67318.01999999999,1985 - 2019
1986,Olympic Peninsula,Washington,Low,Sapling/pole - moderate/closed,0.0,0.0,1733874.3235972885,149682.15010059494,354852.45,67318.01999999999,1985 - 2019
1986,Olympic Peninsula,Washington,Low / moderate,Sapling/pole - moderate/closed,0.0,0.0,1733874.3235972885,149682.15010059494,354852.45,67318.01999999999,1985 - 2019
1986,Olympic Peninsula,Washington,Moderate / high,Sapling/pole - moderate/closed,0.0,0.0,1733874.3235972885,149682.15010059494,354852.45,67318.01999999999,1985 - 2019
1986,Olympic Peninsula,Washington,High,Sapling/pole - moderate/closed,0.0,0.0,1733874.3235972885,149682.15010059494,354852.45,67318.01999999999,1985 - 2019
1986,Olympic Peninsula,Washington,Very high,Sapling/pole - moderate/closed,0.0,0.0,1733874.3235972885,149682.15010059494,354852.45,67318.01999999999,1985 - 2019
1986,Olympic Peninsula,Washington,Very low / unburned,Small/medium tree - moderate/closed,0.0,0.0,1733874.3235972885,149682.15010059494,354852.45,67318.01999999999,1985 - 2019
1986,Olympic Peninsula,Washington,Low,Small/medium tree - moderate/closed,0.0,0.0,1733874.3235972885,149682.15010059494,354852.45,67318.01999999999,1985 - 2019
1986,Olympic Peninsula,Washington,Low / moderate,Small/medium tree - moderate/closed,0.0,0.0,1733874.3235972885,149682.15010059494,354852.45,67318.01999999999,1985 - 2019
1986,Olympic Peninsula,Washington,Moderate / high,Small/medium tree - moderate/closed,0.0,0.0,1733874.3235972885,149682.15010059494,354852.45,67318.01999999999,1985 - 2019
1986,Olympic Peninsula,Washington,High,Small/medium tree - moderate/closed,0.0,0.0,1733874.3235972885,149682.15010059494,354852.45,67318.01999999999,1985 - 2019
1986,Olympic Peninsula,Washington,Very high,Small/medium tree - moderate/closed,0.0,0.0,1733874.3235972885,149682.15010059494,354852.45,67318.01999999999,1985 - 2019
1986,Olympic Peninsula,Washington,Very low / unburned,Large tree - moderate/closed,0.0,0.0,1733874.3235972885,149682.15010059494,354852.45,67318.01999999999,1985 - 2019
1986,Olympic Peninsula,Washington,Low,Large tree - moderate/closed,0.0,0.0,1733874.3235972885,149682.15010059494,354852.45,67318.01999999999,1985 - 2019
1986,Olympic Peninsula,Washington,Low / moderate,Large tree - moderate/closed,0.0,0.0,1733874.3235972885,149682.15010059494,354852.45,67318.01999999999,1985 - 2019
1986,Olympic Peninsula,Washington,Moderate / high,Large tree - moderate/closed,0.0,0.0,1733874.3235972885,149682.15010059494,354852.45,67318.01999999999,1985 - 2019
1986,Olympic Peninsula,Washington,High,Large tree - moderate/closed,0.0,0.0,1733874.3235972885,149682.15010059494,354852.45,67318.01999999999,1985 - 2019
1986,Olympic Peninsula,Washington,Very high,Large tree - moderate/closed,0.0,0.0,1733874.3235972885,149682.15010059494,354852.45,67318.01999999999,1985 - 2019
1986,Olympic Peninsula,Washington,Very low / unburned,Large/giant tree - moderate/closed,0.0,0.0,1733874.3235972885,149682.15010059494,354852.45,67318.01999999999,1985 - 2019
1986,Olympic Peninsula,Washington,Low,Large/giant tree - moderate/closed,0.0,0.0,1733874.3235972885,149682.15010059494,354852.45,67318.01999999999,1985 - 2019
1986,Olympic Peninsula,Washington,Low / moderate,Large/giant tree - moderate/closed,0.0,0.0,1733874.3235972885,149682.15010059494,354852.45,67318.01999999999,1985 - 2019
1986,Olympic Peninsula,Washington,Moderate / high,Large/giant tree - moderate/closed,0.0,0.0,1733874.3235972885,149682.15010059494,354852.45,67318.01999999999,1985 - 2019
1986,Olympic Peninsula,Washington,High,Large/giant tree - moderate/closed,0.0,0.0,1733874.3235972885,149682.15010059494,354852.45,67318.01999999999,1985 - 2019
1986,Olympic Peninsula,Washington,Very high,Large/giant tree - moderate/closed,0.0,0.0,1733874.3235972885,149682.15010059494,354852.45,67318.01999999999,1985 - 2019
1986,Western Cascades,Oregon,Very low / unburned,Nonforest,0.0,0.0,2894036.740370086,539256.5354734417,897722.55,255562.2,1985 - 2019
